"Bounding Box (w, h)",Number of Lesions
"(1, 1)",40
"(1, 2)",34
"(1, 3)",5
"(1, 4)",2
"(2, 1)",14
"(2, 2)",21
"(2, 3)",12
"(2, 4)",14
"(2, 5)",3
"(2, 6)",3
"(2, 7)",2
"(2, 9)",1
"(3, 1)",2
"(3, 2)",17
"(3, 3)",31
"(3, 4)",21
"(3, 5)",7
"(3, 6)",11
"(3, 7)",6
"(3, 8)",2
"(3, 9)",1
"(3, 10)",1
"(3, 11)",3
"(3, 12)",1
"(3, 15)",2
"(3, 22)",1
"(4, 1)",3
"(4, 2)",7
"(4, 3)",24
"(4, 4)",30
"(4, 5)",26
"(4, 6)",15
"(4, 7)",14
"(4, 8)",9
"(4, 9)",7
"(4, 10)",3
"(4, 11)",2
"(4, 12)",4
"(4, 14)",1
"(4, 18)",1
"(5, 1)",1
"(5, 2)",3
"(5, 3)",16
"(5, 4)",22
"(5, 5)",38
"(5, 6)",34
"(5, 7)",29
"(5, 8)",9
"(5, 9)",10
"(5, 10)",7
"(5, 11)",11
"(5, 12)",1
"(5, 13)",5
"(5, 14)",2
"(5, 15)",1
"(5, 16)",1
"(5, 20)",2
"(6, 2)",1
"(6, 3)",8
"(6, 4)",22
"(6, 5)",36
"(6, 6)",37
"(6, 7)",27
"(6, 8)",11
"(6, 9)",29
"(6, 10)",16
"(6, 11)",17
"(6, 12)",7
"(6, 13)",8
"(6, 14)",4
"(6, 15)",5
"(6, 16)",2
"(6, 17)",1
"(6, 18)",2
"(6, 19)",1
"(6, 20)",2
"(6, 21)",1
"(6, 22)",1
"(6, 25)",1
"(6, 29)",1
"(7, 3)",6
"(7, 4)",17
"(7, 5)",40
"(7, 6)",51
"(7, 7)",65
"(7, 8)",28
"(7, 9)",57
"(7, 10)",17
"(7, 11)",28
"(7, 12)",11
"(7, 13)",22
"(7, 14)",12
"(7, 15)",8
"(7, 16)",2
"(7, 17)",2
"(7, 18)",4
"(7, 19)",2
"(7, 20)",2
"(7, 21)",1
"(7, 22)",2
"(7, 23)",1
"(7, 29)",1
"(7, 30)",1
"(7, 43)",1
"(8, 2)",1
"(8, 3)",1
"(8, 4)",7
"(8, 5)",12
"(8, 6)",21
"(8, 7)",34
"(8, 8)",23
"(8, 9)",29
"(8, 10)",17
"(8, 11)",19
"(8, 12)",10
"(8, 13)",9
"(8, 14)",7
"(8, 15)",3
"(8, 16)",4
"(8, 18)",2
"(8, 19)",1
"(8, 20)",1
"(8, 21)",2
"(8, 22)",4
"(8, 23)",1
"(8, 26)",1
"(8, 28)",1
"(8, 37)",1
"(8, 45)",1
"(9, 3)",4
"(9, 4)",7
"(9, 5)",18
"(9, 6)",17
"(9, 7)",46
"(9, 8)",29
"(9, 9)",66
"(9, 10)",27
"(9, 11)",52
"(9, 12)",18
"(9, 13)",21
"(9, 14)",16
"(9, 15)",18
"(9, 16)",10
"(9, 17)",5
"(9, 18)",10
"(9, 19)",2
"(9, 20)",3
"(9, 22)",2
"(9, 23)",2
"(9, 24)",1
"(9, 25)",3
"(9, 26)",5
"(9, 29)",1
"(9, 32)",1
"(9, 33)",1
"(9, 36)",1
"(9, 37)",1
"(9, 38)",2
"(9, 45)",1
"(9, 51)",1
"(10, 3)",1
"(10, 4)",3
"(10, 5)",4
"(10, 6)",16
"(10, 7)",33
"(10, 8)",18
"(10, 9)",35
"(10, 10)",22
"(10, 11)",29
"(10, 12)",19
"(10, 13)",23
"(10, 14)",10
